week,Y,I_c,I_x,C,X,W,input_tokens,Lh,user_msgs,tool_calls,commits,reverts
2026-W16,0,0,0,20944,16182.857142857143,0.327503,808,0,0,305,0,0
2026-W18,0,0,0,20525.12,15535.542857142857,0.151269,1139186,0,0,262,0,0
2026-W19,0,0,0,20114.617599999998,14914.121142857142,2.437762,44668425,0,0,3783,0,0
2026-W20,17.05263157894737,5833,8235,25545.325247999997,22552.556297142855,4.497984,42237051,0,0,4849,19,1
2026-W21,4,1,2,25035.418743039998,21652.454045257142,2.762394,35726634,0,0,5195,4,0
2026-W22,7,0,0,24534.710368179196,20786.355883446857,1.460764,21577373,0,0,2297,7,0
2026-W23,12,0,315,24044.016160815612,20269.901648108982,0,0,0,0,0,12,0
2026-W24,13,150,482,23713.1358375993,19941.10558218462,0,0,0,0,0,13,0
2026-W25,2,0,0,23238.873120847315,19143.461358897235,0.415665,2483033,0,0,144,2,0
2026-W26,0,0,0,22774.095658430368,18377.722904541344,5.077778,30517214,0,0,1731,0,0
2026-W27,4,0,358,22318.61374526176,18000.61398835969,3.429185,16024668,0,0,1142,4,0
2026-W28,2,0,48,21872.241470356523,17328.589428825304,2.520264,15478323,0,0,865,2,0
2026-W29,0,0,0,21434.796640949393,16635.44585167229,7.858993,62121971,0,0,2088,0,0
2026-W30,0,0,0,21006.100708130405,15970.0280176054,0.05208,506768,0,0,21,0,0
